11.18,26.4,9.43,32.02,25.5,15.81,7.07,26.93,26.91,43.01,35,41.23,22.36,0,21.21,20,20.62,25.5,18.03,38.08,42.72,15.81,21.21,32.02,36.4,35.36,15.81,15.81,16.28,38.01,36.4,27.02,44.28,35.47,46.1,51.86,44.82,11.18,32.02,32.7,10,21.63,14.32,23.09,21.95,27.29,36.24,38.01,31.91,49.24,27.8,38.08,18.25,9.22,27.29,33.06,26.42,13.15,6.08,9.06,15.81,18.03,33.54,44.1,54.12,61.06,51.62,42.06,29.53,23.09,31.78,50.77,19.24,16.12,20,23.6,25.5,29.21,41.11,35.47,28.64,38.29,26.63,20,19.92,14.32,26.93,7.28,27.29,10.77,42.01,16.16,8.54,12.04,4.47,5.1,8.25,6.4,11.7,10.05,13.89,11.18
32.02,46.87,21.19,53.15,41.23,20,22.36,40.31,33.38,64.03,52.2,55.23,43.01,21.21,0,15.81,11.18,22.36,30.41,50,62.65,31.62,30,40.31,55.9,50.99,36.06,36.06,37.48,58.52,55.9,44.94,62.3,56.64,67.27,73,51.66,11.18,11.18,45.04,29.15,27.17,9.22,10.63,5.66,29.41,40.16,46.53,42.05,58.69,48.92,58.82,35.11,30.41,46.1,49.73,38.05,17.12,26.4,15.23,24.08,14.32,48.84,60.21,67,81.84,71.59,52.24,50.22,43.05,50.99,71.61,32.56,29.83,31.14,34.01,46.69,50.33,62.29,56.64,49.09,59.46,37,27.02,21.38,12.04,13.6,15.26,43.42,27.31,59.2,9,13.89,14.32,20.25,17.2,18.38,14.87,11.7,16.76,8.54,32.02
30.41,45.35,13,47.17,29.15,29.15,25.5,46.1,42.94,60.42,55,60.83,36.06,20,15.81,0,25,35.36,36.4,57.01,61.85,21.21,15.81,25,46.1,38.08,29.15,35.36,33.84,50.25,55.9,47.01,64.2,52.33,61.03,68.48,61.72,18.03,25,30.81,22.36,12.17,9.22,7.28,21.02,40.8,51.31,55.54,49.98,67.42,45.31,56.3,38.12,26.93,36.12,37.59,24.04,7.28,21.84,21.02,31.78,26.17,53.34,64.07,73.55,78.79,70.6,37,42.8,42.58,51.48,68.54,20.25,18.44,17.89,19.92,41.59,44.42,56.3,50.77,41.23,55.01,44.6,35.78,32.2,22.02,29.07,13.15,47.17,30.27,62.01,20.52,18.79,22.47,22.36,19.65,23.41,16.76,19.42,23.26,17.69,30.41
29.15,42.45,25.18,51.48,45,11.18,18.03,31.62,23,60.21,44.72,46.1,42.72,20.62,11.18,25,0,11.18,22.36,40.31,57.01,35,36.4,47.43,57.01,55,36.4,32.02,35.36,58.31,50,38.28,55.01,53.6,65.19,69.53,40.79,10,15.81,50.64,30.41,34.54,16.12,21.4,6.08,18.44,29.12,36.06,32.14,48.17,45.8,54.45,28.6,29.15,47.85,53.08,43.74,23.41,26.68,11.7,15.65,4.47,40.5,51.87,57.22,77.16,65.8,58.94,49.77,38.18,45,67.18,37.22,34.13,36.67,40.02,44.78,48.76,60.21,54.71,49.04,56.4,27.46,17.46,11.05,6.32,6.32,18.11,35.78,21.93,51.48,5.1,12.17,8.94,17.46,15.52,13.89,15.03,9.06,11.66,8.25,29.15
30.41,40.71,32.7,52.2,50.99,10,20,25,13.93,58.31,39.05,38.08,45.28,25.5,22.36,35.36,11.18,0,18.03,31.62,53.15,41.23,44.72,55.9,60.21,60.83,40,31.62,36.67,60.21,46.1,34.06,49.2,52.8,65,67.74,30.15,18.03,25,57.87,35.36,43.57,26.17,32.45,17.09,8.06,18.25,26.17,23.41,38.01,45.31,52.15,25.55,32.02,52.01,58.42,51.26,32.45,31.26,17.09,12.65,9.22,33.84,44.78,48.05,73.88,61.52,66.85,51.79,36.24,41.23,64.4,44.27,41.11,44.38,47.93,45.61,49.73,60.17,55.03,51.48,55.46,19.72,11.4,6.08,13.6,12.04,25.94,30.41,21.59,45.22,14.87,18.79,14.32,21.21,20.88,17.26,21.93,16.64,15.52,17.69,30.41
15.81,22.85,27.46,35.36,40.31,11.18,11.18,10,10.44,40.31,22.36,25,30.41,18.03,30.41,36.4,22.36,18.03,0,20.62,35.36,32.02,39.05,49.5,45.28,49.24,26.93,15,21.21,44.05,28.28,16.28,32.65,35.11,47.43,49.74,26.91,20,38.08,48.83,25,39.66,28.28,37.12,27.51,14.14,19.7,20,13.89,31.3,27.89,34.13,7.62,19.24,38.6,46.24,43.28,30.46,21.26,16.03,6.71,17.89,18.44,29.83,37.34,55.97,43.93,58.6,36.01,18.38,23.35,46.4,36.12,33.24,37.48,41.01,29.07,33.14,42.72,37.85,36.12,37.7,8.6,6.71,12.73,18.44,27.2,23.41,13.42,7.81,29.15,21.59,18.11,16.12,14.32,16.76,13.15,19.65,19.03,14,22.09,15.81
32.02,28.23,47.42,42.72,56.57,30,31.62,11.18,17.72,40,15,7.07,43.01,38.08,50,57.01,40.31,31.62,20.62,0,30.41,50,58.31,68.01,55.9,64.03,42.43,28.28,34.71,52.2,25,17.89,21.93,38.83,50.25,48.26,13,40.31,55.9,65.8,43.01,59.48,48.84,57.56,46.17,23.77,17.69,8.06,8.25,12.04,34.54,34.06,20.81,36.4,52.2,60.61,61.22,50.92,39.96,36.5,26.08,36.12,9.22,15,17,49.98,36.4,75.69,46.07,25.55,22.36,42.76,54.41,51.87,56.3,59.64,38.47,41.63,46.69,43.68,47.01,40.45,13,23.02,29.27,38.01,43.42,43.97,13.6,27.31,17.46,41,38.64,36.12,34.79,37.36,33.73,40.26,39.2,34.37,42.11,32.02
31.62,16.49,49.03,22.36,46.1,46.1,40.31,29.15,41.34,11.18,15.81,25,30.41,42.72,62.65,61.85,57.01,53.15,35.36,30.41,0,45,55,60.83,36.06,49.24,35,26.93,28.28,29.83,7.07,19.1,10.77,15.26,22.36,18,43.29,51.48,72.11,55.08,40.31,58.08,57.01,65.79,61.29,47.43,46.24,38.08,34.54,39.12,18.11,8.06,28.43,34.93,37.95,45.69,53.6,54.57,40.02,47.51,41.77,52.63,22.14,18.44,32.31,20.81,8.94,63.91,28.23,19.7,12.04,12.37,49.04,48.01,52.01,54.15,23.35,23.41,20.62,20.81,30.08,14.87,34.99,41.77,48.08,51.87,62.37,49.98,23.02,35.51,14.14,54.92,48.76,49.09,42.49,45.62,44.42,48.33,51.11,46.32,54.2,31.62
18.03,29.27,10.44,26.93,10,31.62,22.36,39.05,41.88,41.23,42.72,51.48,15.81,15.81,31.62,21.21,35,41.23,32.02,50,45,0,10,18.03,25,20,10,22.36,17.46,29.07,40.31,34.93,50.01,32.98,40.31,48.47,58.73,25,42.72,17,7.07,13.34,22.47,27.8,34.53,42.95,51.31,51.62,45.25,61.85,27.07,38.21,29.21,13.6,15,18.25,11.31,15.26,10.82,24.33,31.3,33.24,43.42,52.2,64.41,59.48,53.15,26.63,21.95,28.16,36.88,49.48,4.47,3.16,7.07,9.85,22.36,24.35,35.78,30.46,20.25,35.44,40.36,35.36,35.74,29.07,41.05,17.12,37.22,24.21,49.04,30.02,23.09,27.29,20.25,20.4,24.04,20.02,26.02,25.71,27.07,18.03
26.93,39.2,12.21,36.4,14.14,36.06,28.28,47.17,48.1,50.99,52.2,60.42,25.5,21.21,30,15.81,36.4,44.72,39.05,58.31,55,10,0,11.18,32.02,22.36,20,31.62,27.29,37.22,50.25,44.27,59.84,42.76,49.24,57.87,65.95,26.93,40.31,15.13,15.81,4.24,21.1,23.09,34.23,48.01,57.38,59.03,52.8,69.89,37.05,48.17,37.59,22.47,22.47,22.2,8.25,13.15,18.36,27.78,36.88,35.85,52.39,61.68,73.41,69.12,63.13,22.56,31.02,37.85,46.69,59.23,6.32,7.07,3.16,4.12,32.25,33.96,44.94,39.85,29.15,45.12,47.63,41.11,39.96,31.38,41.77,18.79,46.1,31.4,58.69,31.32,25.94,30.41,25.5,24.41,28.6,22.83,28.23,29.68,28.16,26.93
36.06,46.17,23.32,40,15,47.17,39.05,57.01,58.9,55,60.42,69.46,30.41,32.02,40.31,25,47.43,55.9,49.5,68.01,60.83,18.03,11.18,0,31.62,18.03,26.93,40.31,34.93,38.08,57.01,52.77,67.05,47.04,50.99,60.53,76.38,38.08,50,8.6,25,13.15,31.78,32.06,44.91,59.08,68.25,69.35,63.03,79.81,42.76,53.34,47.2,31.62,24.08,19.7,7.28,24.04,28.32,38.95,47.8,47.01,61.4,69.86,82.37,72.34,68.26,12,34.01,45.69,54.08,63.03,13.6,16.28,12.04,8.49,37.48,38.05,47.38,43.05,32.02,49,58,52.01,51.11,42.54,52.63,29.97,55.23,41.73,66.48,42.38,37.12,41.59,36.4,35.51,39.66,34,39.4,40.82,39.22,36.06
30,27.78,34.99,14.14,18.03,50.25,40.31,47.43,55.58,26.93,43.01,54.08,15,36.4,55.9,46.1,57.01,60.21,45.28,55.9,36.06,25,32.02,31.62,0,15,20.62,30.41,24.08,7.07,35.36,38.01,45.34,20.81,20,30.07,67.78,47.43,67.08,23.54,26.93,36.24,47.01,52.8,57.94,59.08,64.33,60.75,54.71,67.6,21.63,28.02,38.83,28.28,10,12.17,25.94,40.22,30.36,45.35,48.01,54.13,47.01,50.99,65.3,42.11,41.23,30.07,9.85,30.46,35,33.96,26.17,27.66,29.07,28.84,17.46,14.42,17.46,15.26,9.22,21.47,51.42,51.04,54.15,50.7,63.32,40.72,42.54,39,46.69,52.5,44.92,48.27,39.81,41.48,43.74,42.38,48.08,45.89,49.98,30
33.54,37.64,30.15,26.93,10,50.99,41.23,54.08,59.62,41.23,53.15,63.64,21.21,35.36,50.99,38.08,55,60.83,49.24,64.03,49.24,20,22.36,18.03,15,0,22.36,36.06,29.41,22.02,47.17,46.69,57.45,34.18,35,45.04,74.63,45,61.85,9.43,25.5,26.42,41.77,45.31,54.33,61.68,68.94,67.42,61.06,76.06,32.45,41.23,44.42,30.08,12.04,3.61,14.42,33.96,29.61,44.18,50,53.15,55.9,62.01,75.82,57.08,55.36,15.13,21.02,38.9,45.61,48.66,18.44,21.21,20.25,18.36,27.2,25.94,32.25,29.12,19.24,35.44,56.82,53.76,55.11,49.04,61.03,37.05,50.45,41.79,58.01,50.01,43.05,47.17,39.62,40.2,43.57,40.01,46.01,45.4,47.04,33.54
11.18,19.42,16.4,18.03,14.14,30,20,32.02,37.34,31.62,33.54,43.01,7.07,15.81,36.06,29.15,36.4,40,26.93,42.43,35,10,20,26.93,20.62,22.36,0,14.14,8.06,22.47,30.41,26.08,40.26,23.41,32.02,39.36,52.43,26.93,47.17,23.43,7.07,23.19,27.66,34.83,37.58,39.81,46.62,45.22,38.83,54.45,17.12,28.28,22.2,8.06,12.04,19.31,19.7,22.2,9.85,24.74,28.28,33.54,35,42.95,55.76,49.98,43.19,33.3,14.21,18.79,27.2,39.85,14.14,13.04,17.03,19.42,12.65,15.26,27.2,21.63,13.04,26,34.48,31.78,34.01,30.08,42.72,20.81,29.07,19.65,39.56,31.95,24.35,27.66,19.24,20.88,23.19,21.93,27.51,25.32,29.55,11.18
5,10.82,23,20.62,28.28,22.36,14.14,18.03,25.18,28.28,20.62,29.15,15.81,15.81,36.06,35.36,32.02,31.62,15,28.28,26.93,22.36,31.62,40.31,30.41,36.06,14.14,0,6.71,29.07,20.62,12.65,29,21.63,33.54,37.54,38.59,25,46.1,37.54,15.81,33.73,30.08,38.9,35.38,29.07,33.96,31.38,25.06,40.31,13.89,22.8,8.54,9.22,24.6,32.76,33.29,28.16,14.04,21.26,18.97,28.02,21.1,30.08,42.06,45.8,35.85,47.42,21.02,7.28,16.12,35.61,26.83,24.7,29.15,32.2,14.14,18.25,28.64,23.41,21.21,24.41,21.19,21.21,25.63,26.17,38.01,23.09,15,10.3,27.29,29,22.2,23.35,15.81,18.87,18.38,21.47,24.84,20.52,27.8,5
6.32,12,20.88,16.12,22.02,26.93,17.46,24.7,31.58,26.93,25.5,35,9.22,16.28,37.48,33.84,35.36,36.67,21.21,34.71,28.28,17.46,27.29,34.93,24.08,29.41,8.06,6.71,0,23.54,23.02,18.03,32.56,19.21,30,35.61,45.28,27.02,48.17,31.4,12.04,30.02,30.23,38.47,37.8,35.01,40.52,38.08,31.76,46.75,11.66,22.47,15.23,7.21,17.89,26.08,27.73,26.57,12.08,23.85,24.19,31.78,27.02,34.93,47.71,45.18,36.88,41.23,15.13,10.77,19.42,34.89,21.84,20.22,24.52,27.2,9.43,13.42,25,19.42,15,22.02,27.86,27,30.59,29.15,41.59,23.02,21.21,15.13,31.62,31.62,24.21,26.42,18.03,20.62,21.47,22.63,27.2,23.71,29.83,6.32
29.83,24.04,38.29,9.49,23.77,50.45,40.8,44.72,54.01,20.12,38.47,49.65,15.65,38.01,58.52,50.25,58.31,60.21,44.05,52.2,29.83,29.07,37.22,38.08,7.07,22.02,22.47,29.07,23.54,0,30,34.48,39.62,14.87,13.04,23.02,64.56,49.19,69.64,30.27,29.41,41.34,50,56.59,59.94,58.14,62.29,57.72,51.97,63.56,17.72,21.93,37.01,29.15,14.76,19.03,31.95,43.86,32.25,46.62,47.68,55.03,43.08,45.8,60.22,35.06,34.44,37.12,8.54,27.46,30.41,26.93,31.06,32.02,34.13,34.44,15,11.05,10.44,9.22,9.43,15,49.25,50.25,54.13,52,64.62,43.27,39.29,38.64,41.4,54.13,46.52,49.4,40.85,42.95,44.6,44.29,49.66,46.82,51.88,29.83
25.5,11.05,43.29,21.21,42.72,39.05,33.54,22.36,34.48,15,10,20.62,26.93,36.4,55.9,55.9,50,46.1,28.28,25,7.07,40.31,50.25,57.01,35.36,47.17,30.41,20.62,23.02,30,0,12.04,10.3,15.26,25.5,23.54,38,44.72,65.19,52,35,53.04,50.6,59.48,54.38,40.5,39.85,32.25,28.16,34.93,14.76,9.22,21.4,29.15,35.36,43.57,49.73,48.66,34.23,40.71,34.71,45.61,16.12,15.81,30.23,27.8,15.81,61.27,26.4,13.34,5,18.79,44.55,43.19,47.38,49.82,20.12,21.4,22.47,20.81,28.02,16.16,28.18,34.71,41.01,44.94,55.32,43.68,16.12,28.65,11.4,48.02,42.05,42.19,35.85,39,37.59,41.79,44.29,39.45,47.41,25.5
17.46,10.44,35.23,25,40,27.2,22.8,11.18,22.85,25.3,8.06,17.03,25.5,27.02,44.94,47.01,38.28,34.06,16.28,17.89,19.1,34.93,44.27,52.77,38.01,46.69,26.08,12.65,18.03,34.48,12.04,0,17.46,22,34.13,34.54,30.08,33.84,53.71,49.41,28.46,46.32,40.61,49.65,42.94,28.65,29.27,23.35,18,29.68,16.76,18.97,9.85,21.84,34.71,43.19,45.65,40.01,26.48,29.73,22.8,33.84,9.22,17.46,29.68,39.82,27.66,59.2,28.18,7.81,7.21,30.53,39.4,37.34,41.79,44.78,20.59,23.77,30,26.31,29.15,24.08,16.76,22.67,29,33.54,43.42,34.13,5,17.72,15,36.67,31.32,30.87,25.5,28.64,26.57,31.58,33.24,28.23,36.4,17.46
34,20.88,52,31.24,52.92,43.83,40.26,24.21,36.07,21.93,10.3,15.52,37.16,44.28,62.3,64.2,55.01,49.2,32.65,21.93,10.77,50.01,59.84,67.05,45.34,57.45,40.26,29,32.56,39.62,10.3,17.46,0,24.76,33.11,28.28,34.21,51.24,70.68,62.24,44.28,62.39,58.05,67.08,60.01,42.45,39.12,29.97,27.8,29.02,25.06,17.8,27.2,38.05,45.65,53.85,59.77,57.08,43.01,47.13,39.36,50.54,15.56,8,21.54,28.16,14.56,71.55,36.62,22.09,13.15,22.02,54.34,52.77,57.07,59.67,30.41,31.62,31.06,30.41,38.28,25,29.73,38.28,44.94,50.7,59.68,51.48,19.24,35.17,4.47,53.85,48.76,48.1,42.95,46.1,43.97,49.03,50.6,45.54,53.76,34
24.76,12.37,39.36,7.28,32.06,43.91,35.61,33.06,43.93,8.25,24.35,35.47,17.26,35.47,56.64,52.33,53.6,52.8,35.11,38.83,15.26,32.98,42.76,47.04,20.81,34.18,23.41,21.63,19.21,14.87,15.26,22,24.76,0,12.37,16.4,51.62,45.97,67.18,40.61,29.97,46.32,49.41,57.45,56.64,49.04,51.16,45.18,40,49.65,7.81,7.21,27.51,26.4,23.35,30.68,40,45.18,31.06,42.52,40.25,49.65,29.61,31.06,45.49,26.57,21.38,49.04,13.34,16.76,16.49,16.49,36.5,36.14,39.62,41.19,10.77,9,8,5.66,15.3,2.83,38.33,41.79,46.96,47.63,59.64,42.2,27,31.91,26.63,50.33,43.14,44.82,36.8,39.6,39.82,41.77,46.01,42.01,48.8,24.76
36.06,24.74,48.41,14.14,36.4,55.9,47.17,45.28,56.29,11.18,35.36,46.1,25,46.1,67.27,61.03,65.19,65,47.43,50.25,22.36,40.31,49.24,50.99,20,35,32.02,33.54,30,13.04,25.5,34.13,33.11,12.37,0,10.2,63.2,57.01,78.1,43.29,39.05,53.23,59.41,66.84,67.8,61.4,63.39,57.01,52.09,60.42,19.7,16.28,39.85,36.88,27.2,32.06,44.64,54.2,41.01,53.82,52.39,61.4,41.11,40.5,54.63,22.2,24.08,50.04,18.36,29.12,28.02,15.26,42.95,43.42,46.1,46.82,20.62,16.97,5,10.63,20.12,10.05,50.64,54.08,59.09,59.08,71.34,52.33,39.12,43.83,36.06,61.61,54.2,56.3,48.01,50.61,51.31,52.5,57.2,53.54,59.82,36.06
